year,lb_ac,county,state
2008,1327.461998,MCKENZIE,ND
2009,1818.596219,MCKENZIE,ND
2010,2625.49279,MCKENZIE,ND
2011,2686.281435,MCKENZIE,ND
2012,1728.338731,MCKENZIE,ND
2013,2854.620204,MCKENZIE,ND
2014,2423.219291,MCKENZIE,ND
2015,1760.359268,MCKENZIE,ND
2016,1979.209293,MCKENZIE,ND
2017,1382.336548,MCKENZIE,ND
2018,2044.739423,MCKENZIE,ND
1984,1262.796329,WILLIAMS,ND
1985,1298.826983,WILLIAMS,ND
1986,1872.887747,WILLIAMS,ND
1987,1627.742124,WILLIAMS,ND
1988,838.5996114,WILLIAMS,ND
1989,1290.861872,WILLIAMS,ND
1990,1468.569697,WILLIAMS,ND
1991,2081.709463,WILLIAMS,ND
1992,1295.298273,WILLIAMS,ND
1993,2059.016273,WILLIAMS,ND
1994,2025.30023,WILLIAMS,ND
1995,2102.178425,WILLIAMS,ND
1996,1754.069758,WILLIAMS,ND
1997,1575.886018,WILLIAMS,ND
1998,1990.366222,WILLIAMS,ND
1999,2598.031522,WILLIAMS,ND
2000,1783.722864,WILLIAMS,ND
2001,2324.947085,WILLIAMS,ND
2002,2140.054915,WILLIAMS,ND
2003,2249.987569,WILLIAMS,ND
2004,2163.080698,WILLIAMS,ND
2005,2276.346294,WILLIAMS,ND
2006,2066.383069,WILLIAMS,ND
2007,2230.983059,WILLIAMS,ND
2008,1459.422497,WILLIAMS,ND
2009,2170.708745,WILLIAMS,ND
2010,2818.614772,WILLIAMS,ND
2011,2614.53115,WILLIAMS,ND
2012,2229.649399,WILLIAMS,ND
2013,3096.920976,WILLIAMS,ND
2014,2288.944179,WILLIAMS,ND
2015,1570.447285,WILLIAMS,ND
2016,2464.075243,WILLIAMS,ND
2017,1470.993956,WILLIAMS,ND
2018,2354.897237,WILLIAMS,ND
