year,county,state,ag_district,yield,type,units
2017,BARNES,NORTH DAKOTA,EAST CENTRAL,65300.0,"wheat, spring, (excl durum) - acres harvested",acres
2009,BARNES,NORTH DAKOTA,EAST CENTRAL,114000.0,"wheat, spring, (excl durum) - acres harvested",acres
2010,BARNES,NORTH DAKOTA,EAST CENTRAL,114000.0,"wheat, spring, (excl durum) - acres harvested",acres
2006,BARNES,NORTH DAKOTA,EAST CENTRAL,149000.0,"wheat, spring, (excl durum) - acres harvested",acres
2003,BARNES,NORTH DAKOTA,EAST CENTRAL,196500.0,"wheat, spring, (excl durum) - acres harvested",acres
2008,BARNES,NORTH DAKOTA,EAST CENTRAL,123000.0,"wheat, spring, (excl durum) - acres harvested",acres
2011,BARNES,NORTH DAKOTA,EAST CENTRAL,97000.0,"wheat, spring, (excl durum) - acres harvested",acres
2012,BARNES,NORTH DAKOTA,EAST CENTRAL,78000.0,"wheat, spring, (excl durum) - acres harvested",acres
2013,BARNES,NORTH DAKOTA,EAST CENTRAL,70300.0,"wheat, spring, (excl durum) - acres harvested",acres
2014,BARNES,NORTH DAKOTA,EAST CENTRAL,80400.0,"wheat, spring, (excl durum) - acres harvested",acres
2015,BARNES,NORTH DAKOTA,EAST CENTRAL,104900.0,"wheat, spring, (excl durum) - acres harvested",acres
2018,BARNES,NORTH DAKOTA,EAST CENTRAL,93700.0,"wheat, spring, (excl durum) - acres harvested",acres
2002,CASS*,NORTH DAKOTA,EAST CENTRAL,260000.0,"wheat, spring, (excl durum) - acres harvested",acres
1997,CASS*,NORTH DAKOTA,EAST CENTRAL,377000.0,"wheat, spring, (excl durum) - acres harvested",acres
1978,CASS*,NORTH DAKOTA,EAST CENTRAL,265700.0,"wheat, spring, (excl durum) - acres harvested",acres
1987,CASS*,NORTH DAKOTA,EAST CENTRAL,263000.0,"wheat, spring, (excl durum) - acres harvested",acres
1974,CASS*,NORTH DAKOTA,EAST CENTRAL,391200.0,"wheat, spring, (excl durum) - acres harvested",acres
2007,CASS*,NORTH DAKOTA,EAST CENTRAL,168500.0,"wheat, spring, (excl durum) - acres harvested",acres
1995,CASS*,NORTH DAKOTA,EAST CENTRAL,399000.0,"wheat, spring, (excl durum) - acres harvested",acres
1996,CASS*,NORTH DAKOTA,EAST CENTRAL,459000.0,"wheat, spring, (excl durum) - acres harvested",acres
1998,CASS*,NORTH DAKOTA,EAST CENTRAL,357000.0,"wheat, spring, (excl durum) - acres harvested",acres
1999,CASS*,NORTH DAKOTA,EAST CENTRAL,315000.0,"wheat, spring, (excl durum) - acres harvested",acres
2001,CASS*,NORTH DAKOTA,EAST CENTRAL,307000.0,"wheat, spring, (excl durum) - acres harvested",acres
2005,CASS*,NORTH DAKOTA,EAST CENTRAL,268000.0,"wheat, spring, (excl durum) - acres harvested",acres
2000,CASS*,NORTH DAKOTA,EAST CENTRAL,307000.0,"wheat, spring, (excl durum) - acres harvested",acres
1993,CASS*,NORTH DAKOTA,EAST CENTRAL,376000.0,"wheat, spring, (excl durum) - acres harvested",acres
1992,CASS*,NORTH DAKOTA,EAST CENTRAL,406000.0,"wheat, spring, (excl durum) - acres harvested",acres
1989,CASS*,NORTH DAKOTA,EAST CENTRAL,329500.0,"wheat, spring, (excl durum) - acres harvested",acres
1966,CASS*,NORTH DAKOTA,EAST CENTRAL,140000.0,"wheat, spring, (excl durum) - acres harvested",acres
1968,CASS*,NORTH DAKOTA,EAST CENTRAL,180000.0,"wheat, spring, (excl durum) - acres harvested",acres
1969,CASS*,NORTH DAKOTA,EAST CENTRAL,137000.0,"wheat, spring, (excl durum) - acres harvested",acres
1970,CASS*,NORTH DAKOTA,EAST CENTRAL,184000.0,"wheat, spring, (excl durum) - acres harvested",acres
1971,CASS*,NORTH DAKOTA,EAST CENTRAL,302000.0,"wheat, spring, (excl durum) - acres harvested",acres
1972,CASS*,NORTH DAKOTA,EAST CENTRAL,250000.0,"wheat, spring, (excl durum) - acres harvested",acres
1980,CASS*,NORTH DAKOTA,EAST CENTRAL,350000.0,"wheat, spring, (excl durum) - acres harvested",acres
1981,CASS*,NORTH DAKOTA,EAST CENTRAL,322000.0,"wheat, spring, (excl durum) - acres harvested",acres
1983,CASS*,NORTH DAKOTA,EAST CENTRAL,215000.0,"wheat, spring, (excl durum) - acres harvested",acres
1984,CASS*,NORTH DAKOTA,EAST CENTRAL,210000.0,"wheat, spring, (excl durum) - acres harvested",acres
1986,CASS*,NORTH DAKOTA,EAST CENTRAL,276000.0,"wheat, spring, (excl durum) - acres harvested",acres
1985,CASS*,NORTH DAKOTA,EAST CENTRAL,234000.0,"wheat, spring, (excl durum) - acres harvested",acres
1988,CASS*,NORTH DAKOTA,EAST CENTRAL,248000.0,"wheat, spring, (excl durum) - acres harvested",acres
1991,CASS*,NORTH DAKOTA,EAST CENTRAL,300000.0,"wheat, spring, (excl durum) - acres harvested",acres
1994,CASS*,NORTH DAKOTA,EAST CENTRAL,375000.0,"wheat, spring, (excl durum) - acres harvested",acres
1979,CASS*,NORTH DAKOTA,EAST CENTRAL,266000.0,"wheat, spring, (excl durum) - acres harvested",acres
1982,CASS*,NORTH DAKOTA,EAST CENTRAL,298000.0,"wheat, spring, (excl durum) - acres harvested",acres
1990,CASS*,NORTH DAKOTA,EAST CENTRAL,378000.0,"wheat, spring, (excl durum) - acres harvested",acres
1960,CASS*,NORTH DAKOTA,EAST CENTRAL,170000.0,"wheat, spring, (excl durum) - acres harvested",acres
1961,CASS*,NORTH DAKOTA,EAST CENTRAL,168000.0,"wheat, spring, (excl durum) - acres harvested",acres
1962,CASS*,NORTH DAKOTA,EAST CENTRAL,100000.0,"wheat, spring, (excl durum) - acres harvested",acres
1963,CASS*,NORTH DAKOTA,EAST CENTRAL,132000.0,"wheat, spring, (excl durum) - acres harvested",acres
1964,CASS*,NORTH DAKOTA,EAST CENTRAL,136000.0,"wheat, spring, (excl durum) - acres harvested",acres
1965,CASS*,NORTH DAKOTA,EAST CENTRAL,134000.0,"wheat, spring, (excl durum) - acres harvested",acres
1967,CASS*,NORTH DAKOTA,EAST CENTRAL,201000.0,"wheat, spring, (excl durum) - acres harvested",acres
1973,CASS*,NORTH DAKOTA,EAST CENTRAL,353000.0,"wheat, spring, (excl durum) - acres harvested",acres
1975,CASS*,NORTH DAKOTA,EAST CENTRAL,299200.0,"wheat, spring, (excl durum) - acres harvested",acres
1976,CASS*,NORTH DAKOTA,EAST CENTRAL,487100.0,"wheat, spring, (excl durum) - acres harvested",acres
1977,CASS*,NORTH DAKOTA,EAST CENTRAL,335800.0,"wheat, spring, (excl durum) - acres harvested",acres
2009,CASS*,NORTH DAKOTA,EAST CENTRAL,99000.0,"wheat, spring, (excl durum) - acres harvested",acres
2010,CASS*,NORTH DAKOTA,EAST CENTRAL,113000.0,"wheat, spring, (excl durum) - acres harvested",acres
2006,CASS*,NORTH DAKOTA,EAST CENTRAL,188000.0,"wheat, spring, (excl durum) - acres harvested",acres
2004,CASS*,NORTH DAKOTA,EAST CENTRAL,220000.0,"wheat, spring, (excl durum) - acres harvested",acres
2003,CASS*,NORTH DAKOTA,EAST CENTRAL,257500.0,"wheat, spring, (excl durum) - acres harvested",acres
2008,CASS*,NORTH DAKOTA,EAST CENTRAL,158000.0,"wheat, spring, (excl durum) - acres harvested",acres
2011,CASS*,NORTH DAKOTA,EAST CENTRAL,95000.0,"wheat, spring, (excl durum) - acres harvested",acres
2012,CASS*,NORTH DAKOTA,EAST CENTRAL,85600.0,"wheat, spring, (excl durum) - acres harvested",acres
2013,CASS*,NORTH DAKOTA,EAST CENTRAL,73500.0,"wheat, spring, (excl durum) - acres harvested",acres
2014,CASS*,NORTH DAKOTA,EAST CENTRAL,80100.0,"wheat, spring, (excl durum) - acres harvested",acres
2015,CASS*,NORTH DAKOTA,EAST CENTRAL,118800.0,"wheat, spring, (excl durum) - acres harvested",acres
2016,CASS*,NORTH DAKOTA,EAST CENTRAL,94900.0,"wheat, spring, (excl durum) - acres harvested",acres
2017,CASS*,NORTH DAKOTA,EAST CENTRAL,81700.0,"wheat, spring, (excl durum) - acres harvested",acres
2018,CASS*,NORTH DAKOTA,EAST CENTRAL,118300.0,"wheat, spring, (excl durum) - acres harvested",acres
2002,STEELE,NORTH DAKOTA,EAST CENTRAL,109000.0,"wheat, spring, (excl durum) - acres harvested",acres
1997,STEELE,NORTH DAKOTA,EAST CENTRAL,165000.0,"wheat, spring, (excl durum) - acres harvested",acres
1978,STEELE,NORTH DAKOTA,EAST CENTRAL,125600.0,"wheat, spring, (excl durum) - acres harvested",acres
1987,STEELE,NORTH DAKOTA,EAST CENTRAL,122000.0,"wheat, spring, (excl durum) - acres harvested",acres
1974,STEELE,NORTH DAKOTA,EAST CENTRAL,139200.0,"wheat, spring, (excl durum) - acres harvested",acres
1995,STEELE,NORTH DAKOTA,EAST CENTRAL,163000.0,"wheat, spring, (excl durum) - acres harvested",acres
1996,STEELE,NORTH DAKOTA,EAST CENTRAL,169000.0,"wheat, spring, (excl durum) - acres harvested",acres
1998,STEELE,NORTH DAKOTA,EAST CENTRAL,129000.0,"wheat, spring, (excl durum) - acres harvested",acres
1999,STEELE,NORTH DAKOTA,EAST CENTRAL,126000.0,"wheat, spring, (excl durum) - acres harvested",acres
2001,STEELE,NORTH DAKOTA,EAST CENTRAL,134000.0,"wheat, spring, (excl durum) - acres harvested",acres
2000,STEELE,NORTH DAKOTA,EAST CENTRAL,137000.0,"wheat, spring, (excl durum) - acres harvested",acres
1993,STEELE,NORTH DAKOTA,EAST CENTRAL,171000.0,"wheat, spring, (excl durum) - acres harvested",acres
1992,STEELE,NORTH DAKOTA,EAST CENTRAL,175000.0,"wheat, spring, (excl durum) - acres harvested",acres
1989,STEELE,NORTH DAKOTA,EAST CENTRAL,155000.0,"wheat, spring, (excl durum) - acres harvested",acres
2003,STEELE,NORTH DAKOTA,EAST CENTRAL,97000.0,"wheat, spring, (excl durum) - acres harvested",acres
1966,STEELE,NORTH DAKOTA,EAST CENTRAL,49000.0,"wheat, spring, (excl durum) - acres harvested",acres
1968,STEELE,NORTH DAKOTA,EAST CENTRAL,73000.0,"wheat, spring, (excl durum) - acres harvested",acres
1969,STEELE,NORTH DAKOTA,EAST CENTRAL,60000.0,"wheat, spring, (excl durum) - acres harvested",acres
1970,STEELE,NORTH DAKOTA,EAST CENTRAL,78000.0,"wheat, spring, (excl durum) - acres harvested",acres
1971,STEELE,NORTH DAKOTA,EAST CENTRAL,117000.0,"wheat, spring, (excl durum) - acres harvested",acres
1972,STEELE,NORTH DAKOTA,EAST CENTRAL,95000.0,"wheat, spring, (excl durum) - acres harvested",acres
1980,STEELE,NORTH DAKOTA,EAST CENTRAL,140000.0,"wheat, spring, (excl durum) - acres harvested",acres
1981,STEELE,NORTH DAKOTA,EAST CENTRAL,137000.0,"wheat, spring, (excl durum) - acres harvested",acres
1983,STEELE,NORTH DAKOTA,EAST CENTRAL,95000.0,"wheat, spring, (excl durum) - acres harvested",acres
1984,STEELE,NORTH DAKOTA,EAST CENTRAL,110000.0,"wheat, spring, (excl durum) - acres harvested",acres
1986,STEELE,NORTH DAKOTA,EAST CENTRAL,115000.0,"wheat, spring, (excl durum) - acres harvested",acres
1985,STEELE,NORTH DAKOTA,EAST CENTRAL,119000.0,"wheat, spring, (excl durum) - acres harvested",acres
1988,STEELE,NORTH DAKOTA,EAST CENTRAL,125000.0,"wheat, spring, (excl durum) - acres harvested",acres
1991,STEELE,NORTH DAKOTA,EAST CENTRAL,140000.0,"wheat, spring, (excl durum) - acres harvested",acres
1994,STEELE,NORTH DAKOTA,EAST CENTRAL,155000.0,"wheat, spring, (excl durum) - acres harvested",acres
1979,STEELE,NORTH DAKOTA,EAST CENTRAL,112000.0,"wheat, spring, (excl durum) - acres harvested",acres
1982,STEELE,NORTH DAKOTA,EAST CENTRAL,136000.0,"wheat, spring, (excl durum) - acres harvested",acres
1990,STEELE,NORTH DAKOTA,EAST CENTRAL,170000.0,"wheat, spring, (excl durum) - acres harvested",acres
1960,STEELE,NORTH DAKOTA,EAST CENTRAL,59000.0,"wheat, spring, (excl durum) - acres harvested",acres
1961,STEELE,NORTH DAKOTA,EAST CENTRAL,60000.0,"wheat, spring, (excl durum) - acres harvested",acres
1962,STEELE,NORTH DAKOTA,EAST CENTRAL,44000.0,"wheat, spring, (excl durum) - acres harvested",acres
1963,STEELE,NORTH DAKOTA,EAST CENTRAL,43500.0,"wheat, spring, (excl durum) - acres harvested",acres
