year,county,state,yield,type,units
2012,KIMBALL,NEBRASKA,750.03328062646,rangeland,lb_acre
2013,KIMBALL,NEBRASKA,1061.3207180254,rangeland,lb_acre
2014,KIMBALL,NEBRASKA,1848.0948340033,rangeland,lb_acre
2015,KIMBALL,NEBRASKA,1508.2692395351,rangeland,lb_acre
2016,KIMBALL,NEBRASKA,1396.5002605524,rangeland,lb_acre
2017,KIMBALL,NEBRASKA,885.49373170182,rangeland,lb_acre
2018,KIMBALL,NEBRASKA,1196.0226100152,rangeland,lb_acre
1984,DEUEL,NEBRASKA,1032.7463895738,rangeland,lb_acre
1985,DEUEL,NEBRASKA,842.50331125828,rangeland,lb_acre
1986,DEUEL,NEBRASKA,1366.0166101695,rangeland,lb_acre
1987,DEUEL,NEBRASKA,1045.5151309079,rangeland,lb_acre
1988,DEUEL,NEBRASKA,1089.1260107817,rangeland,lb_acre
1989,DEUEL,NEBRASKA,994.92412385165,rangeland,lb_acre
1990,DEUEL,NEBRASKA,1054.8486238532,rangeland,lb_acre
1991,DEUEL,NEBRASKA,1275.6485612674,rangeland,lb_acre
1992,DEUEL,NEBRASKA,1203.0121991428,rangeland,lb_acre
1993,DEUEL,NEBRASKA,1300.2636540962,rangeland,lb_acre
1994,DEUEL,NEBRASKA,831.0955954323,rangeland,lb_acre
1995,DEUEL,NEBRASKA,1856.7795062563,rangeland,lb_acre
1996,DEUEL,NEBRASKA,1034.9587155963,rangeland,lb_acre
1997,DEUEL,NEBRASKA,869.587890625,rangeland,lb_acre
1998,DEUEL,NEBRASKA,1147.3756476684,rangeland,lb_acre
1999,DEUEL,NEBRASKA,1158.8669918699,rangeland,lb_acre
2000,DEUEL,NEBRASKA,927.45542635659,rangeland,lb_acre
2001,DEUEL,NEBRASKA,1529.4715945771,rangeland,lb_acre
2002,DEUEL,NEBRASKA,904.83825917506,rangeland,lb_acre
2003,DEUEL,NEBRASKA,1689.286498708,rangeland,lb_acre
2004,DEUEL,NEBRASKA,1279.9068042567,rangeland,lb_acre
2005,DEUEL,NEBRASKA,1351.1700548564,rangeland,lb_acre
2006,DEUEL,NEBRASKA,898.87528344671,rangeland,lb_acre
2007,DEUEL,NEBRASKA,1661.4761136217,rangeland,lb_acre
2008,DEUEL,NEBRASKA,1306.179297001,rangeland,lb_acre
2009,DEUEL,NEBRASKA,2050.3743125202,rangeland,lb_acre
2010,DEUEL,NEBRASKA,1685.0632054176,rangeland,lb_acre
2011,DEUEL,NEBRASKA,1486.7859909619,rangeland,lb_acre
2012,DEUEL,NEBRASKA,885.97967879384,rangeland,lb_acre
2013,DEUEL,NEBRASKA,1304.5785899094,rangeland,lb_acre
2014,DEUEL,NEBRASKA,1551.4182521767,rangeland,lb_acre
2015,DEUEL,NEBRASKA,2122.0022734654,rangeland,lb_acre
2016,DEUEL,NEBRASKA,1628.3037443512,rangeland,lb_acre
2017,DEUEL,NEBRASKA,1199.5087719298,rangeland,lb_acre
2018,DEUEL,NEBRASKA,1598.6605504587,rangeland,lb_acre
1984,BANNER,NEBRASKA,1017.1044223368,rangeland,lb_acre
1985,BANNER,NEBRASKA,901.5914982204,rangeland,lb_acre
1986,BANNER,NEBRASKA,1312.4170908844,rangeland,lb_acre
1987,BANNER,NEBRASKA,1323.610366099,rangeland,lb_acre
1988,BANNER,NEBRASKA,1045.3734676297,rangeland,lb_acre
1989,BANNER,NEBRASKA,734.10228987599,rangeland,lb_acre
1990,BANNER,NEBRASKA,1180.7358814972,rangeland,lb_acre
1991,BANNER,NEBRASKA,1371.7221328874,rangeland,lb_acre
1992,BANNER,NEBRASKA,791.38164219826,rangeland,lb_acre
1993,BANNER,NEBRASKA,1009.5731161161,rangeland,lb_acre
1994,BANNER,NEBRASKA,707.86123060879,rangeland,lb_acre
1995,BANNER,NEBRASKA,1817.9029583444,rangeland,lb_acre
1996,BANNER,NEBRASKA,1067.0683500793,rangeland,lb_acre
1997,BANNER,NEBRASKA,1129.6798981524,rangeland,lb_acre
1998,BANNER,NEBRASKA,995.04764698214,rangeland,lb_acre
1999,BANNER,NEBRASKA,1008.7502944641,rangeland,lb_acre
2000,BANNER,NEBRASKA,821.35260376386,rangeland,lb_acre
2001,BANNER,NEBRASKA,1641.6726056474,rangeland,lb_acre
2002,BANNER,NEBRASKA,844.50425462813,rangeland,lb_acre
2003,BANNER,NEBRASKA,1783.2284188859,rangeland,lb_acre
2004,BANNER,NEBRASKA,1146.0675710428,rangeland,lb_acre
2005,BANNER,NEBRASKA,1779.0764531893,rangeland,lb_acre
2006,BANNER,NEBRASKA,909.29254116887,rangeland,lb_acre
2007,BANNER,NEBRASKA,1321.7115743421,rangeland,lb_acre
2008,BANNER,NEBRASKA,1241.4621124405,rangeland,lb_acre
2009,BANNER,NEBRASKA,1587.8282224365,rangeland,lb_acre
2010,BANNER,NEBRASKA,1547.6492378931,rangeland,lb_acre
2011,BANNER,NEBRASKA,1518.1943051806,rangeland,lb_acre
2012,BANNER,NEBRASKA,873.82134766005,rangeland,lb_acre
2013,BANNER,NEBRASKA,1144.1933491992,rangeland,lb_acre
2014,BANNER,NEBRASKA,2143.4358694255,rangeland,lb_acre
2015,BANNER,NEBRASKA,1526.9484690554,rangeland,lb_acre
2016,BANNER,NEBRASKA,1489.6991702579,rangeland,lb_acre
2017,BANNER,NEBRASKA,1081.8317158385,rangeland,lb_acre
2018,BANNER,NEBRASKA,1558.7457891656,rangeland,lb_acre
1984,CHEYENNE,NEBRASKA,1072.9525524907,rangeland,lb_acre
1985,CHEYENNE,NEBRASKA,872.40325033263,rangeland,lb_acre
1986,CHEYENNE,NEBRASKA,1344.0221948212,rangeland,lb_acre
1987,CHEYENNE,NEBRASKA,1278.2766122015,rangeland,lb_acre
1988,CHEYENNE,NEBRASKA,1119.2612985061,rangeland,lb_acre
1989,CHEYENNE,NEBRASKA,831.27005143837,rangeland,lb_acre
1990,CHEYENNE,NEBRASKA,1062.8934672424,rangeland,lb_acre
1991,CHEYENNE,NEBRASKA,1330.532037437,rangeland,lb_acre
1992,CHEYENNE,NEBRASKA,1019.6244841816,rangeland,lb_acre
1993,CHEYENNE,NEBRASKA,1039.4732363437,rangeland,lb_acre
1994,CHEYENNE,NEBRASKA,806.08018306636,rangeland,lb_acre
1995,CHEYENNE,NEBRASKA,1873.659878188,rangeland,lb_acre
1996,CHEYENNE,NEBRASKA,1021.5043127179,rangeland,lb_acre
1997,CHEYENNE,NEBRASKA,1310.541151504,rangeland,lb_acre
1998,CHEYENNE,NEBRASKA,1085.6641982081,rangeland,lb_acre
1999,CHEYENNE,NEBRASKA,1210.9362249587,rangeland,lb_acre
2000,CHEYENNE,NEBRASKA,850.3054200542,rangeland,lb_acre
2001,CHEYENNE,NEBRASKA,1649.1263726373,rangeland,lb_acre
2002,CHEYENNE,NEBRASKA,843.81567238718,rangeland,lb_acre
2003,CHEYENNE,NEBRASKA,1690.1015498288,rangeland,lb_acre
2004,CHEYENNE,NEBRASKA,1226.9876765314,rangeland,lb_acre
2005,CHEYENNE,NEBRASKA,1629.8064051817,rangeland,lb_acre
2006,CHEYENNE,NEBRASKA,950.72905381004,rangeland,lb_acre
2007,CHEYENNE,NEBRASKA,1649.8855573564,rangeland,lb_acre
2008,CHEYENNE,NEBRASKA,1203.0426565875,rangeland,lb_acre
2009,CHEYENNE,NEBRASKA,1919.1499280058,rangeland,lb_acre
2010,CHEYENNE,NEBRASKA,1742.9632796328,rangeland,lb_acre
2011,CHEYENNE,NEBRASKA,1578.6411478949,rangeland,lb_acre
2012,CHEYENNE,NEBRASKA,802.19055832955,rangeland,lb_acre
2013,CHEYENNE,NEBRASKA,1134.3413799315,rangeland,lb_acre
2014,CHEYENNE,NEBRASKA,1897.5850346254,rangeland,lb_acre
2015,CHEYENNE,NEBRASKA,1793.8703068592,rangeland,lb_acre
2016,CHEYENNE,NEBRASKA,1516.3660971223,rangeland,lb_acre
2017,CHEYENNE,NEBRASKA,1053.9327009937,rangeland,lb_acre
2018,CHEYENNE,NEBRASKA,1412.3935319767,rangeland,lb_acre
